VIDEO,VIDEONAME,RATING,RATINGTIME
0,Simulated_jitterfile_Burstjitter_1000msDelayAt640_2000000_480_1894.mp4,2,1745480617497
1,Simulated_jitterfile_Burstjitter_1000msDelayAt4660_2000000_480_2746.mp4,2,1745480626196
2,Simulated_jitterfile_Burstjitter_1000msDelayAt4780_2000000_480_2823.mp4,1,1745480637122
3,Simulated_pktlossfile_1000msLossAt940_2000000_480_1782.mp4,1,1745480644748
4,Simulated_jitterfile_Burstjitter_1000msDelayAt2980_2000000_480_3173.mp4,3,1745480656484
5,Simulated_jitterfile_nodistorsion_500000_240_3049.mp4,2,1745480664634
6,Simulated_jitterfile_Burstjitter_1000msDelayAt3040_2000000_480_1922.mp4,3,1745480673760
7,Simulated_pktlossfile_1000msLossAt1900_2000000_480_2077.mp4,2,1745480682301
8,Simulated_jitterfile_nodistorsion_300000_192_1724.mp4,1,1745480690419
9,Simulated_jitterfile_Burstjitter_1000msDelayAt820_2000000_480_2951.mp4,3,1745480700361
10,Simulated_jitterfile_nodistorsion_1000000_480_3901.mp4,4,1745480707894
11,Simulated_jitterfile_Burstjitter_1000msDelayAt2560_2000000_480_3042.mp4,3,1745480716677
12,Simulated_pktlossfile_1000msLossAt2860_2000000_480_2169.mp4,2,1745480730604
13,Simulated_jitterfile_Burstjitter_1000msDelayAt2440_2000000_480_3097.mp4,2,1745480741438
14,Simulated_jitterfile_nodistorsion_50000_192_1086.mp4,1,1745480749246
15,Simulated_jitterfile_Burstjitter_1000msDelayAt4900_2000000_480_2837.mp4,4,1745480758388
16,Simulated_jitterfile_nodistorsion_150000_240_2365.mp4,2,1745480766005
